Link Text,URL

<p>,Nominations are invited for Distinguished Alumnus Award and Young Alumnus Award 2020. The nomination process closes on 30th September 2020.
<p>,PEC welcomed Mr. Bikram Singh Garewal, the university’s oldest alum at Homecoming 2020: Global Alumni Meet. After graduating from PEC in 1943, Mr.Bikram has gone on to achieve many great feats in life.
<p>,A MoU was signed between PEC and PEDA for Research and Development Projects on Energy Conservation & Energy Efficiency under Bureau of Energy Efficiency, Ministry of Power, Govt. of India.
<p>,PEC has completed 98 wonderful years since it’s foundation in 1921. A celebratory event was organized to mark the foundation of the college. The Chief Guest for the event was Director, PEC, Prof. Dheeraj Sanghi.
<p>,One week STC on Micro Manufacturing from 4th to 8th January, 2021
<p>,Chandigarh Administration has desired Shivalik Hostel to be used as a Quarantine Centre for COVID-19
<p>,Manual to Access pec.edu.in Email ID
<p>,As a precautionary measure against the spread of Corona Virus, teaching shall remain suspended in the institute indefinitely.
<p>,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
<p>,Quick Links
<p>,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
<p>,Quick Links
<p>,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
<p>,Quick Links
<p>,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
<p>,Quick Links
<p>,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
<p>,Quick Links
<p>,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
<p>,Quick Links
<p>,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
<p>,Quick Links
<p>,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
<p>,Quick Links
<p>,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
<p>,Quick Links
<p>,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
<p>,Quick Links
<p>,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
<p>,Quick Links
<p>,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
<p>,Quick Links
<p>,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
<p>,Quick Links
<p>,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
<p>,Quick Links
<p>,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
<p>,Quick Links
<p>,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
<p>,Quick Links
<p>,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
<p>,Quick Links
<p>,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
<p>,Quick Links
<p>,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
<p>,Quick Links
<p>,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
<p>,Quick Links
<p>,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
<p>,Quick Links
<p>,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
<p>,Quick Links
<p>,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
<p>,Quick Links
<p>,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
<p>,Quick Links
<p>,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
<p>,Quick Links
<p>,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
<p>,Quick Links
<p>,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
<p>,Quick Links
<p>,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
<p>,Quick Links
<p>,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
<p>,Quick Links
<p>,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
<p>,Quick Links
<p>,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
<p>,Quick Links
<p>,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
<p>,Quick Links
<p>,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
<p>,Quick Links
<p>,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
<p>,Quick Links
<p>,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
<p>,Quick Links
<p>,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
<p>,Quick Links
<p>,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
<p>,Quick Links
<p>,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
<p>,Quick Links
<p>,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
<p>,Quick Links
<p>,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
<p>,Quick Links
<p>,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
<p>,Quick Links
<p>,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
<p>,Quick Links
<p>,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
<p>,Quick Links
<p>,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
<p>,Quick Links
<p>,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
<p>,Quick Links
<p>,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
<p>,Quick Links
<p>,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
<p>,Quick Links
<p>,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
<p>,Quick Links
<p>,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
<p>,Quick Links
<p>,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/programmes/accreditation,Accreditation
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/programmes/scholarships,Scholarships
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/iqac/aqar-reports,IQAC Reports
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/admissions,Admissions
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/academic-units,Academic Units
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/departments,Departments
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/centres,Centres
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/research/overview,Research
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/research-groups,Research Groups
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/sponsored-research,Sponsored Research
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/house-projects,In-House Projects
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/consultancy,Consultancy
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/courses-and-conferences,Courses and Conferences
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/yrf/about-programme,Young Research Fellows Programme
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/norms-and-forms,Norms and Forms
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/research/contacts,Contacts
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/campus-life,Campus Life
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/current-students,Students
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/facilities,Facilities
https://pec.ac.in//faculty-affairs/reporting-copyright-infringementjavascript:;,-A
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/top-stories,Top Stories
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/pec-anthem,PEC Anthem
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/rules-guidelines-forms,Rules, Guidelines & Forms
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/office-orders,Office Orders
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/coe/collaborations,Collaborations
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/current-students/time-tables,Time Tables
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/current-students/examination,Examination
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/academics/calendar,Academic Calendar
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/library,Library
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/computer-centre,Computer Centre
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/Sports,Sports
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/hostels,Hostels
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/medical-facilities,Medical Facility
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/workshops,Workshops
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/multimedia,Multimedia
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/prospectus,Brochure & Prospectus
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/institute/sexual-harassment-complaints-committee,Sexual Harassment Complaints
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/credits,Website Credits
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/web_editor,Web Editor
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/anti-ragging,Anti-Ragging
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/privacy-policy,Privacy Statement
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/reporting-copyright-infringement,Report Copyright Infringement
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/reporting-copyright-infringement/jobs,Jobs
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/reporting-copyright-infringement/tenders,Tenders
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/reporting-copyright-infringement/node/549,RTI
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/reporting-copyright-infringement/tnp/about-cell,Placements
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/reporting-copyright-infringement/institute-functionaries,Contact Us
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/reporting-copyright-infringement/,
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/reporting-copyright-infringement/institute,Institute
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/reporting-copyright-infringement/history,History
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/reporting-copyright-infringement/vision,Vision & Mission
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/reporting-copyright-infringement/campus,Campus
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/reporting-copyright-infringement/location,Location
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/reporting-copyright-infringement/all_events,News and Events
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/reporting-copyright-infringement/balance-sheets,Balance Sheets
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/reporting-copyright-infringement/faculty-affairs,Faculty Affairs
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/reporting-copyright-infringement/institute/iqac-reports,IQAC Reports
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/reporting-copyright-infringement/administration,Administration
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/reporting-copyright-infringement/board-of-governors,Board Of Governors
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/reporting-copyright-infringement/chairman-bog,Chairman, Board of Governors
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/reporting-copyright-infringement/director,Director
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/reporting-copyright-infringement/senate-members,Senate Members
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/reporting-copyright-infringement/building-works-committee,Building & Works Committee
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/reporting-copyright-infringement/finance-committee,Finance Committee
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/reporting-copyright-infringement/grievance-redressal-committee,Grievance Redressal Committee
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/reporting-copyright-infringement/minutes-meetings,Minutes of Meetings
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/reporting-copyright-infringement/programmes,Programmes
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/reporting-copyright-infringement/programmes/ug/structure,Undergraduate
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/reporting-copyright-infringement/programmes/pg/structure,Postgraduate
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/reporting-copyright-infringement/programmes/phd,Doctorate
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/reporting-copyright-infringement/programmes/student-support,Academic Support for Students
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/reporting-copyright-infringement/programmes/accreditation,Accreditation
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/reporting-copyright-infringement/programmes/scholarships,Scholarships
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/reporting-copyright-infringement/iqac/aqar-reports,IQAC Reports
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/reporting-copyright-infringement/admissions,Admissions
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/reporting-copyright-infringement/academic-units,Academic Units
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/reporting-copyright-infringement/departments,Departments
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/reporting-copyright-infringement/centres,Centres
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/reporting-copyright-infringement/research/overview,Research
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/reporting-copyright-infringement/research-groups,Research Groups
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/reporting-copyright-infringement/sponsored-research,Sponsored Research
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/reporting-copyright-infringement/house-projects,In-House Projects
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/reporting-copyright-infringement/consultancy,Consultancy
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/reporting-copyright-infringement/courses-and-conferences,Courses and Conferences
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/reporting-copyright-infringement/yrf/about-programme,Young Research Fellows Programme
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/reporting-copyright-infringement/norms-and-forms,Norms and Forms
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/reporting-copyright-infringement/research/contacts,Contacts
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/reporting-copyright-infringement/campus-life,Campus Life
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/reporting-copyright-infringement/current-students,Students
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/reporting-copyright-infringement/facilities,Facilities
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/reporting-copyright-infringementjavascript:;,-A
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/reporting-copyright-infringement/top-stories,Top Stories
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/reporting-copyright-infringement/pec-anthem,PEC Anthem
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/reporting-copyright-infringement/rules-guidelines-forms,Rules, Guidelines & Forms
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/reporting-copyright-infringement/office-orders,Office Orders
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/reporting-copyright-infringement/coe/collaborations,Collaborations
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/reporting-copyright-infringement/current-students/time-tables,Time Tables
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/reporting-copyright-infringement/current-students/examination,Examination
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/reporting-copyright-infringement/academics/calendar,Academic Calendar
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/reporting-copyright-infringement/library,Library
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/reporting-copyright-infringement/computer-centre,Computer Centre
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/reporting-copyright-infringement/Sports,Sports
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/reporting-copyright-infringement/hostels,Hostels
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/reporting-copyright-infringement/medical-facilities,Medical Facility
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/reporting-copyright-infringement/workshops,Workshops
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/reporting-copyright-infringement/multimedia,Multimedia
https://pec.ac.in//faculty-affairs/reporting-copyright-infringement/reporting-copyright-infringement/prospectus,Brochure & Prospectus
